# robot: unitree_r1
# sample_rate: 999.860754
# num_dofs: 26
# source_format: unitree_low_level_telemetry
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_waist_roll_joint,dof_waist_yaw_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint,dof_head_pitch_joint,dof_head_yaw_joint
0.008047281,0,0,0,-0.6360548182318158,-0.2022494506454577,-0.707207558372645,0.23320998541722882,-0.308432013,0.036432046,-0.136841878,0.370306581,-0.136381298,-0.060186986,-0.314561933,-0.040476721,0.140838623,0.375747412,-0.135482356,0.059689302,0.004949485,-0.000413456,0.260591000,0.196733043,-0.002543179,0.811107457,-0.000938554,0.255521655,-0.203588024,0.003466595,0.812015831,0.000393587,-0.029367661,-0.018022597
0.008855532,0,0,0,-0.6360560459428495,-0.2022524618407294,-0.7072073011787094,0.2332048053931094,-0.308426023,0.036432046,-0.136829898,0.370318562,-0.136386603,-0.060196158,-0.314561933,-0.040488705,0.140838623,0.375735432,-0.135487691,0.059698489,0.004943493,-0.000413456,0.260602981,0.196727052,-0.002543179,0.811122596,-0.000938554,0.255515665,-0.203588024,0.003451457,0.812015831,0.000393587,-0.029352522,-0.018039584
0.009672136,0,0,0,-0.6360568736813873,-0.2022529526836454,-0.7072084344638295,0.2331986852377736,-0.308426023,0.036432046,-0.136829898,0.370312572,-0.136386603,-0.060196158,-0.314549953,-0.040482715,0.140826628,0.375735432,-0.135476664,0.059698280,0.004961469,-0.000401472,0.260608971,0.196721062,-0.002558317,0.811122596,-0.000938554,0.255521655,-0.203594014,0.003436319,0.812015831,0.000393587,-0.029367661,-0.018028796
0.010666377,0,0,0,-0.6360568712863796,-0.20224866518815246,-0.7072113099812577,0.23319368978080496,-0.308426023,0.036432046,-0.136841878,0.370324552,-0.136386603,-0.060196158,-0.314567953,-0.040488705,0.140838623,0.375729442,-0.135476664,0.059698280,0.004955477,-0.000413456,0.260596991,0.196739033,-0.002558317,0.811122596,-0.000938554,0.255521655,-0.203600004,0.003451457,0.812030911,0.000408725,-0.029367661,-0.018022597
0.011678444,0,0,0,-0.6360578324152394,-0.2022450798036302,-0.7072126993818143,0.23318996408837597,-0.308426023,0.036432046,-0.136829898,0.370306581,-0.136381298,-0.060186986,-0.314555943,-0.040494699,0.140832618,0.375735432,-0.135482356,0.059689302,0.004955477,-0.000413456,0.260608971,0.196727052,-0.002558317,0.811122596,-0.000923416,0.255521655,-0.203594014,0.003451457,0.812030911,0.000408725,-0.029367661,-0.018039584
0.012549929,0,0,0,-0.6360578324152394,-0.2022450798036302,-0.7072126993818143,0.23318996408837597,-0.308426023,0.036426052,-0.136829898,0.370318562,-0.136387005,-0.060178000,-0.314561933,-0.040488705,0.140838623,0.375735432,-0.135487691,0.059698489,0.004949485,-0.000413456,0.260596991,0.196715072,-0.002558317,0.811122596,-0.000923416,0.255515665,-0.203611985,0.003451457,0.812015831,0.000393587,-0.029352522,-0.018022597
0.013561707,0,0,0,-0.63605632981557,-0.2022500508767355,-0.7072140856638878,0.23318554685163465,-0.308420032,0.036444031,-0.136847869,0.370300591,-0.136381298,-0.060186986,-0.314555943,-0.040494699,0.140838623,0.375735432,-0.135476664,0.059698280,0.004949485,-0.000407464,0.260596991,0.196721062,-0.002558317,0.811107457,-0.000938554,0.255521655,-0.203605995,0.003451457,0.812015831,0.000408725,-0.029382795,-0.018049419
0.014415368,0,0,0,-0.6360520315203271,-0.202254594615392,-0.7072175961525354,0.23318268342237095,-0.308426023,0.036426052,-0.136835888,0.370306581,-0.136381298,-0.060186986,-0.314543962,-0.040500689,0.140826628,0.375735432,-0.135476664,0.059698280,0.004949485,-0.000407464,0.260608971,0.196715072,-0.002558317,0.811122596,-0.000938554,0.255527645,-0.203611985,0.003451457,0.812015831,0.000393587,-0.029367661,-0.018043160
0.015387593,0,0,0,-0.6360489663009892,-0.2022569152209945,-0.707220909254576,0.2331789832421896,-0.308420032,0.036438037,-0.136829898,0.370318562,-0.136381298,-0.060186986,-0.314561933,-0.040488705,0.140826628,0.375735432,-0.135476664,0.059698280,0.004937501,-0.000401472,0.260602981,0.196697086,-0.002558317,0.811137795,-0.000953692,0.255509675,-0.203617975,0.003451457,0.812015831,0.000393587,-0.029352522,-0.018027067
0.016396043,0,0,0,-0.6360489663009892,-0.2022569152209945,-0.707220909254576,0.2331789832421896,-0.308426023,0.036432046,-0.136847869,0.370318562,-0.136375979,-0.060177799,-0.314561933,-0.040500689,0.140826628,0.375735432,-0.135487691,0.059698489,0.004943493,-0.000407464,0.260602981,0.196715072,-0.002543179,0.811122596,-0.000938554,0.255521655,-0.203611985,0.003451457,0.812015831,0.000393587,-0.029367661,-0.018044055
0.018231369,0,0,0,-0.6360517704380199,-0.20225472701868585,-0.7072216522149573,0.23317097881083673,-0.308426023,0.036426052,-0.136841878,0.370318562,-0.136381298,-0.060186986,-0.314549953,-0.040476721,0.140826628,0.375735432,-0.135481983,0.059707467,0.004955477,-0.000425440,0.260591000,0.196709082,-0.002543179,0.811122596,-0.000953692,0.255521655,-0.203611985,0.003451457,0.812015831,0.000393587,-0.029352522,-0.018017232
0.019098631,0,0,0,-0.6360530884483959,-0.2022527713015593,-0.7072216252208662,0.23316916176041197,-0.308426023,0.036426052,-0.136847869,0.370306581,-0.136381298,-0.060186986,-0.314549953,-0.040476721,0.140826628,0.375735432,-0.135481983,0.059707467,0.004955477,-0.000413456,0.260591000,0.196709082,-0.002543179,0.811122596,-0.000953692,0.255515665,-0.203605995,0.003451457,0.812015831,0.000393587,-0.029352522,-0.018028796
0.020142218,0,0,0,-0.6360530884483959,-0.2022527713015593,-0.7072216252208662,0.23316916176041197,-0.308432013,0.036426052,-0.136841878,0.370312572,-0.136387005,-0.060178000,-0.314543962,-0.040482715,0.140838623,0.375735432,-0.135482356,0.059689302,0.004943493,-0.000425440,0.260608971,0.196727052,-0.002528041,0.811107457,-0.000938554,0.255521655,-0.203600004,0.003466595,0.812015831,0.000393587,-0.029352522,-0.018027961
0.020954405,0,0,0,-0.6360528531745101,-0.20225664118504247,-0.7072211617874202,0.23316785238356053,-0.308426023,0.036426052,-0.136835888,0.370306581,-0.136386603,-0.060196158,-0.314561933,-0.040482715,0.140826628,0.375735432,-0.135487691,0.059698489,0.004943493,-0.000419448,0.260608971,0.196715072,-0.002543179,0.811122596,-0.000953692,0.255509675,-0.203617975,0.003466595,0.812015831,0.000393587,-0.029367661,-0.018039584
0.021968168,0,0,0,-0.6360538610786369,-0.20226013835163706,-0.707220032751144,0.23316549383732943,-0.308426023,0.036432046,-0.136829898,0.370300591,-0.136381298,-0.060186986,-0.314555943,-0.040500689,0.140826628,0.375735432,-0.135487691,0.059698489,0.004949485,-0.000431432,0.260602981,0.196715072,-0.002543179,0.811122596,-0.000953692,0.255521655,-0.203605995,0.003436319,0.812015831,0.000393587,-0.029367661,-0.018017232
0.022946057,0,0,0,-0.6360547475444138,-0.20226092298481035,-0.7072197305073717,0.233163311737986,-0.308426023,0.036426052,-0.136841878,0.370318562,-0.136381298,-0.060186986,-0.314549953,-0.040482715,0.140838623,0.375735432,-0.135481983,0.059707467,0.004949485,-0.000425440,0.260596991,0.196715072,-0.002543179,0.811122596,-0.000953692,0.255527645,-0.203611985,0.003451457,0.812015831,0.000408725,-0.029367661,-0.018028796
0.023832039,0,0,0,-0.6360554909516154,-0.20225928971959967,-0.7072187861517426,0.23316556492432186,-0.308426023,0.036426052,-0.136841878,0.370318562,-0.136387005,-0.060178000,-0.314549953,-0.040482715,0.140826628,0.375735432,-0.135487691,0.059698489,0.004931509,-0.000407464,0.260626942,0.196709082,-0.002558317,0.811107457,-0.000938554,0.255509675,-0.203611985,0.003451457,0.812000632,0.000393587,-0.029367661,-0.018038690
0.024811496,0,0,0,-0.6360562829525634,-0.20225701346123412,-0.7072177058945273,0.23316865546550716,-0.308426023,0.036426052,-0.136841878,0.370306581,-0.136381298,-0.060186986,-0.314549953,-0.040482715,0.140826628,0.375735432,-0.135481983,0.059707467,0.004955477,-0.000425440,0.260602981,0.196715072,-0.002543179,0.811122596,-0.000938554,0.255515665,-0.203611985,0.003451457,0.812015831,0.000393587,-0.029352522,-0.018016338
0.025679589,0,0,0,-0.636058135719743,-0.20225594647995399,-0.7072157751385688,0.233170382967855,-0.308426023,0.036432046,-0.136829898,0.370306581,-0.136381298,-0.060186986,-0.314555943,-0.040482715,0.140832618,0.375735432,-0.135476664,0.059698280,0.004967461,-0.000413456,0.260596991,0.196715072,-0.002558317,0.811122596,-0.000938554,0.255509675,-0.203605995,0.003451457,0.812030911,0.000393587,-0.029367661,-0.018027961
0.026700968,0,0,0,-0.6360579111177831,-0.20225443852235125,-0.7072159710592567,0.2331717094357791,-0.308426023,0.036438037,-0.136841878,0.370312572,-0.136387005,-0.060178000,-0.314549953,-0.040482715,0.140838623,0.375723451,-0.135476664,0.059698280,0.004961469,-0.000419448,0.260608971,0.196715072,-0.002558317,0.811122596,-0.000938554,0.255515665,-0.203617975,0.003436319,0.812015831,0.000393587,-0.029367661,-0.018027961
