# robot: unitree_r1
# sample_rate: 999.716418
# num_dofs: 26
# source_format: unitree_low_level_telemetry
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_waist_roll_joint,dof_waist_yaw_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint,dof_head_pitch_joint,dof_head_yaw_joint
12.301016783,0,0,0,-0.6364665378315797,-0.2022248762821588,-0.7069004022140323,0.23303919623742914,-0.308414042,0.036420062,-0.136853859,0.370438397,-0.136387005,-0.060178000,-0.314508021,-0.040476721,0.140832618,0.375969112,-0.135487691,0.059698489,0.004907541,-0.000431432,0.260602981,0.196739033,-0.002543179,0.811122596,-0.000908278,0.255509675,-0.203611985,0.003451457,0.812000632,0.000408725,-0.029337384,-0.017795384
12.301875532,0,0,0,-0.6364668967231748,-0.2022265234113803,-0.7069003398949416,0.23303697573761592,-0.308414042,0.036426052,-0.136847869,0.370438397,-0.136397630,-0.060196348,-0.314514011,-0.040464737,0.140838623,0.375969112,-0.135481983,0.059707467,0.004901548,-0.000407464,0.260602981,0.196745023,-0.002543179,0.811122596,-0.000908278,0.255515665,-0.203611985,0.003436319,0.812015831,0.000393587,-0.029352522,-0.017800748
12.302744361,0,0,0,-0.6364671358730057,-0.20222482055284255,-0.7069015851722664,0.2330340228098042,-0.308414042,0.036420062,-0.136853859,0.370444387,-0.136392310,-0.060187172,-0.314508021,-0.040476721,0.140826628,0.375975102,-0.135493010,0.059707668,0.004895556,-0.000413456,0.260608971,0.196739033,-0.002543179,0.811122596,-0.000908278,0.255509675,-0.203611985,0.003451457,0.812015831,0.000393587,-0.029352522,-0.017795384
12.303752171,0,0,0,-0.6364669198330313,-0.20222302832709352,-0.7069024557116685,0.2330335273759675,-0.308414042,0.036420062,-0.136853859,0.370444387,-0.136403337,-0.060187381,-0.314508021,-0.040470731,0.140832618,0.375969112,-0.135487303,0.059716646,0.004901548,-0.000413456,0.260596991,0.196751013,-0.002558317,0.811122596,-0.000908278,0.255509675,-0.203611985,0.003436319,0.812015831,0.000408725,-0.029337384,-0.017789960
12.304749517,0,0,0,-0.6364666926499103,-0.20222220811686614,-0.7069020965063971,0.23303594925779963,-0.308414042,0.036426052,-0.136853859,0.370444387,-0.136398017,-0.060178202,-0.314508021,-0.040470731,0.140832618,0.375975102,-0.135492623,0.059725825,0.004901548,-0.000407464,0.260602981,0.196763009,-0.002558317,0.811107457,-0.000923416,0.255521655,-0.203611985,0.003451457,0.812030911,0.000393587,-0.029352522,-0.017789960
12.305618699,0,0,0,-0.6364666926499103,-0.20222220811686614,-0.7069020965063971,0.23303594925779963,-0.308414042,0.036420062,-0.136865839,0.370438397,-0.136387005,-0.060178000,-0.314508021,-0.040476721,0.140850604,0.375975102,-0.135487691,0.059698489,0.004907541,-0.000407464,0.260608971,0.196751013,-0.002558317,0.811107457,-0.000923416,0.255509675,-0.203611985,0.003451457,0.812015831,0.000378449,-0.029352522,-0.017769456
12.306708335,0,0,0,-0.6364681213607879,-0.20222350606542153,-0.7068996599885455,0.23303831185913723,-0.308414042,0.036426052,-0.136859849,0.370450377,-0.136403337,-0.060187381,-0.314520001,-0.040464737,0.140820637,0.375975102,-0.135487691,0.059698489,0.004895556,-0.000413456,0.260596991,0.196768999,-0.002558317,0.811122596,-0.000923416,0.255521655,-0.203605995,0.003451457,0.812015831,0.000393587,-0.029337384,-0.017764032
12.307683920,0,0,0,-0.6364702446868669,-0.2022209472206979,-0.706896862782848,0.23304321814026369,-0.308420032,0.036426052,-0.136853859,0.370456368,-0.136398017,-0.060178202,-0.314525992,-0.040476721,0.140826628,0.375969112,-0.135487691,0.059698489,0.004907541,-0.000413456,0.260608971,0.196768999,-0.002558317,0.811107457,-0.000923416,0.255497694,-0.203605995,0.003451457,0.812015831,0.000393587,-0.029337384,-0.017763138
12.309514030,0,0,0,-0.636467902377518,-0.20221705231690187,-0.7068989988572412,0.23304651555012643,-0.308408052,0.036414068,-0.136853859,0.370450377,-0.136403337,-0.060187381,-0.314520001,-0.040464737,0.140838623,0.375975102,-0.135487303,0.059716646,0.004895556,-0.000413456,0.260602981,0.196763009,-0.002558317,0.811107457,-0.000923416,0.255515665,-0.203611985,0.003451457,0.812015831,0.000393587,-0.029337384,-0.017795384
12.310395660,0,0,0,-0.63646395640123,-0.20221618050878218,-0.7069018157722696,0.23304950418398432,-0.308414042,0.036420062,-0.136865839,0.370438397,-0.136392310,-0.060187172,-0.314508021,-0.040464737,0.140832618,0.375975102,-0.135493010,0.059707668,0.004895556,-0.000425440,0.260596991,0.196763009,-0.002543179,0.811122596,-0.000908278,0.255515665,-0.203605995,0.003436319,0.812015831,0.000393587,-0.029352522,-0.017795384
