# source_robot: unitree_r1
# target_robot: robot_zky
# method: mink frame-task IK
# joint_limit_profile: hardware
# joint_limit_margin_fraction: 0.05
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_yaw_joint,dof_left_hip_roll_joint,dof_left_hip_pitch_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_yaw_joint,dof_right_hip_roll_joint,dof_right_hip_pitch_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_body_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_elbow_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_elbow_joint
0.26,-0.00661613239,-0.000458184098,0.0781494197,0.0488531064,-0.656050102,0.0610901966,0.7506528,-0.0419099469,0.027712501,0.275240434,-0.318657235,-0.0883346871,-0.243011031,0.0629613331,-0.0703323506,-0.262792413,0.28461224,0.0622855467,0.193162837,0.00536341297,-0.328277597,0.140409077,-0.53583486,0.351939397,-0.148038608,0.536466765
0.28,-0.00663530724,-0.000545644836,0.0766635751,0.0491777575,-0.656033168,0.0622803437,0.750548592,-0.0496340133,0.0247998473,0.281032334,-0.320783635,-0.0937814704,-0.254025425,0.0744748681,-0.0718869184,-0.263357881,0.286650519,0.0637929493,0.20600737,0.00540314462,-0.326368435,0.138700934,-0.546928805,0.351217429,-0.146960849,0.545911483
0.3,-0.00672146105,-0.00042563105,0.0764784252,0.0487664738,-0.655648689,0.0645053082,0.750723446,-0.0572156074,0.0202574761,0.284838147,-0.323035645,-0.0986997403,-0.263513358,0.0850803817,-0.0718224818,-0.265638744,0.288376976,0.0647922112,0.217317668,0.00507203069,-0.324103195,0.137219883,-0.556960223,0.350399909,-0.147653359,0.553784202
0.32,-0.00643086085,-0.000894885797,0.075467273,0.0485808167,-0.654963014,0.0665849926,0.75115231,-0.0651460919,0.0147582157,0.288907073,-0.323450234,-0.103410908,-0.271672948,0.0955490175,-0.0729562721,-0.269529989,0.288924735,0.0656447573,0.227121603,0.00401204375,-0.321508856,0.136532527,-0.566012491,0.350270192,-0.149833909,0.559989786
0.34,-0.00685364442,-0.000827804589,0.071947621,0.0495410602,-0.653849596,0.0684339958,0.751893063,-0.0728931758,0.00732513382,0.291802415,-0.322321309,-0.108009486,-0.278746226,0.105670032,-0.0751735854,-0.278142556,0.28588295,0.066665809,0.235498524,0.00339972848,-0.319305972,0.136893246,-0.573955165,0.350538808,-0.154591518,0.564259708
0.36,-0.00831550551,0.000170926936,0.0714220941,0.0503570188,-0.65166191,0.069926858,0.753598806,-0.0801616782,-0.00168297843,0.296486431,-0.319552616,-0.112196095,-0.284890555,0.116060512,-0.078236035,-0.285498002,0.281521572,0.0679127969,0.24264373,0.00340346336,-0.317084064,0.137754937,-0.579965553,0.351149243,-0.161745733,0.566701688
0.38,-0.00954427783,0.00104901977,0.0702055381,0.0521933741,-0.648450411,0.0705225314,0.756184163,-0.086097737,-0.0115198798,0.303345688,-0.31426667,-0.116168828,-0.290280723,0.126651316,-0.0816807573,-0.294203734,0.274420828,0.0694366164,0.2487262,0.00487627808,-0.316366412,0.139443937,-0.583673883,0.35317253,-0.172089025,0.56725174
0.4,-0.0118155205,0.00265898803,0.0703000027,0.0538881854,-0.644245258,0.070950656,0.759611819,-0.0905860923,-0.0229362997,0.310250528,-0.307372368,-0.119953183,-0.295069384,0.137201327,-0.0853513446,-0.304649758,0.264088244,0.0712685632,0.253933169,0.00632204428,-0.317233268,0.14345402,-0.584261816,0.357557964,-0.184226916,0.564928543
0.42,-0.0137688651,0.00416823957,0.0715794325,0.0551315594,-0.638983336,0.0718264056,0.763872879,-0.0940237469,-0.0341296312,0.317643703,-0.298648499,-0.123573672,-0.299337012,0.14752278,-0.0884566785,-0.314100318,0.251986525,0.0733101679,0.258394578,0.00841467247,-0.322111356,0.150182765,-0.58151623,0.367046385,-0.198884933,0.55951821
0.44,-0.0154272072,0.00560960572,0.0721487791,0.0549511453,-0.632785178,0.0737641152,0.768844682,-0.0962557992,-0.0411946648,0.329247171,-0.287799001,-0.126699563,-0.303093691,0.156814863,-0.0912336005,-0.326271637,0.238130621,0.0750355041,0.262390699,0.0107151399,-0.329560531,0.158453562,-0.574565917,0.380465992,-0.214483672,0.552221483
0.46,-0.0162166773,0.00652259998,0.0745591136,0.0536708797,-0.625286659,0.0756381616,0.77486444,-0.0972334155,-0.0472966377,0.3420907,-0.27630884,-0.12931348,-0.30645405,0.165184239,-0.0923312463,-0.339801054,0.223880433,0.0762107442,0.266057755,0.01227275,-0.338811003,0.166996557,-0.560472203,0.402275383,-0.232163159,0.544082132
0.48,-0.0181609832,0.00852358956,0.0775663109,0.0519794863,-0.617251957,0.0781641192,0.781145649,-0.0959648404,-0.0575637903,0.35436578,-0.262876903,-0.132080532,-0.309677158,0.173002886,-0.0931157121,-0.354517256,0.207803749,0.0772590738,0.269489137,0.0144530207,-0.352156446,0.176808315,-0.539540415,0.430576245,-0.25076164,0.532446229
0.5,-0.0190002279,0.00929154294,0.0898368469,0.0505325131,-0.607900351,0.0821474861,0.788134138,-0.0938334316,-0.0632428537,0.367096421,-0.246965561,-0.135077951,-0.312675932,0.180140754,-0.094535062,-0.367307901,0.192460593,0.0778750154,0.272698557,0.0165115039,-0.372742727,0.190711987,-0.511530526,0.470058532,-0.271354468,0.517118257
0.52,-0.0186970236,0.00897317182,0.0973287347,0.0483844745,-0.598060391,0.0855357245,0.795403264,-0.0899315972,-0.0658838019,0.3775,-0.226569543,-0.138140003,-0.315623936,0.183789853,-0.0942043231,-0.3775,0.170061796,0.0776471928,0.275925453,0.0192670238,-0.400387845,0.207519492,-0.47430605,0.51524513,-0.289951526,0.493062644
0.54,-0.0175464389,0.00864986827,0.110499444,0.0461069891,-0.589085205,0.0875716928,0.801987509,-0.0865894432,-0.0624638809,0.3775,-0.192981718,-0.140555241,-0.318455923,0.183899119,-0.0959689454,-0.3775,0.140730742,0.0759289574,0.279053974,0.0223347439,-0.433353374,0.225473366,-0.427854348,0.56817314,-0.302413991,0.46416139
0.56,-0.0157491311,0.00735425327,0.127452615,0.0392136151,-0.580029064,0.0913560476,0.808506432,-0.0833165357,-0.0552524826,0.3775,-0.145721768,-0.141629497,-0.321154637,0.177281857,-0.0860278917,-0.3775,0.114846079,0.0731109627,0.282634718,0.0252814855,-0.466525133,0.245258736,-0.37386872,0.626538124,-0.309099544,0.43548244
0.58,-0.0137689074,0.00581407006,0.139559126,0.028965334,-0.570835469,0.0959188356,0.814927882,-0.0788251075,-0.0466147621,0.3775,-0.0945762193,-0.140837705,-0.323727693,0.166535854,-0.0787317771,-0.3775,0.0883155758,0.0687228159,0.286203825,0.028592124,-0.501895422,0.266586606,-0.314033623,0.680630935,-0.299446956,0.405562683
0.6,-0.0116778752,0.00486553095,0.144928099,0.0210926274,-0.562129308,0.0994777539,0.820773975,-0.0729975874,-0.0384254959,0.3775,-0.0468333114,-0.138512389,-0.326056461,0.153971729,-0.0729860384,-0.3775,0.0613642419,0.0612858024,0.28958261,0.0354625122,-0.54048348,0.285605692,-0.253626828,0.71482552,-0.278752944,0.375613789
0.62,-0.00992281141,0.00424450671,0.151325823,0.0132601266,-0.55294474,0.103259644,0.826688411,-0.0669266616,-0.0338910164,0.3775,-0.000712480627,-0.134765829,-0.32803896,0.142269149,-0.0688999536,-0.3775,0.027527906,0.0500532343,0.292479055,0.039962952,-0.580850712,0.308508583,-0.197861088,0.744612551,-0.261513655,0.350894367
0.64,-0.00873735717,0.0043137631,0.157627908,0.00468252567,-0.542940184,0.10745784,0.832854635,-0.0616359035,-0.032739425,0.3775,0.0516167168,-0.129413133,-0.329703032,0.132253354,-0.0656261962,-0.3775,-0.0101568425,0.0347865377,0.29509484,0.0448013569,-0.621422139,0.33256398,-0.150159616,0.77194038,-0.247569068,0.331573428
0.66,-0.00847306829,0.00553618926,0.162733856,-0.00680942219,-0.530020823,0.112970246,0.840398288,-0.0573348363,-0.0368408155,0.3775,0.112794171,-0.122280771,-0.331115972,0.123280513,-0.0634806481,-0.3775,-0.0580725688,0.01549332,0.29755297,0.0502773749,-0.661963486,0.354970949,-0.112590857,0.794370184,-0.234179174,0.318287639
0.68,-0.0096036891,0.00917852992,0.166897443,-0.0165521231,-0.515590368,0.118919519,0.848381251,-0.0545666261,-0.049562864,0.3775,0.181268336,-0.11329919,-0.332419355,0.116649144,-0.0673207877,-0.3775,-0.117560714,-0.00917809362,0.299913452,0.055105476,-0.69052052,0.36877877,-0.073549968,0.812921359,-0.225946736,0.310173854
0.7,-0.0117239418,0.0154605591,0.168211276,-0.0242801191,-0.497053767,0.127291691,0.857988843,-0.0544751356,-0.0744641933,0.3775,0.258616556,-0.102091984,-0.334145549,0.112132812,-0.0791447798,-0.3775,-0.187924408,-0.0407322882,0.302377308,0.0628677845,-0.712475564,0.379003547,-0.0393300394,0.821590123,-0.220954959,0.306175428
0.72,-0.0119621036,0.0187524947,0.168571212,-0.0294067477,-0.478621421,0.135528255,0.866999925,-0.0612198776,-0.108192685,0.3775,0.338856475,-0.0885771025,-0.336566487,0.106633613,-0.0950976067,-0.3775,-0.265990189,-0.0802481803,0.305170164,0.0727360219,-0.734109944,0.389311309,-0.00514673027,0.822617898,-0.216213066,0.306254684
0.74,-0.0113013204,0.0251254544,0.16754349,-0.0344764748,-0.458570361,0.144251516,0.876194098,-0.0787127421,-0.150186086,0.3775,0.417449408,-0.0728712458,-0.340104987,0.0972111757,-0.113431868,-0.3775,-0.348311452,-0.124556317,0.307489037,0.0786463921,-0.743911368,0.398200571,0.0275838729,0.816293118,-0.213116485,0.309549715
0.76,-0.00843666606,0.0278864886,0.167358497,-0.0357517586,-0.437214014,0.150464266,0.885960622,-0.110039863,-0.202352412,0.3775,0.487062579,-0.0549340904,-0.345241296,0.0808614607,-0.132263863,-0.3775,-0.431865132,-0.167861137,0.310081431,0.0839233449,-0.751595754,0.406411851,0.0548294075,0.803777274,-0.210563979,0.315244706
0.78,-0.00397289174,0.030174355,0.170668008,-0.033054921,-0.415073792,0.154365007,0.895986922,-0.158675306,-0.267439512,0.3775,0.543753581,-0.0353192382,-0.352601516,0.0569322207,-0.157565903,-0.3775,-0.518494958,-0.210047337,0.312465807,0.0872590203,-0.757342295,0.416434948,0.0723438934,0.791252303,-0.212170132,0.321472955
0.8,0.00178981427,0.0311001267,0.172012138,-0.0278178653,-0.393440241,0.153328283,0.906047118,-0.17728236,-0.287,0.3775,0.600768626,-0.0146590802,-0.361218348,0.0253867859,-0.182368706,-0.3775,-0.58922872,-0.250903461,0.314540012,0.091328458,-0.761824143,0.426618764,0.0818408476,0.780383524,-0.219591581,0.327787888
0.82,0.00911016001,0.0333978159,0.173088902,-0.0187525741,-0.374592633,0.146932923,0.915281059,-0.175862236,-0.287,0.3775,0.661865767,0.00646415456,-0.369575406,-0.0190132246,-0.215882499,-0.3775,-0.655706211,-0.290307961,0.316669913,0.0982039595,-0.767154377,0.433281391,0.0838182069,0.770870292,-0.232249577,0.332762003
0.84,0.013747888,0.0350835007,0.175438594,-0.0111962207,-0.356139515,0.141242339,0.923628655,-0.170948202,-0.287,0.3775,0.716603012,0.0275813936,-0.377048637,-0.0717982371,-0.263729388,-0.3775,-0.706297237,-0.327802107,0.31908794,0.100524974,-0.767772746,0.435019922,0.0783761696,0.767643212,-0.244450761,0.337525725
0.86,0.0167847103,0.036346813,0.17847627,-0.00428676842,-0.340026526,0.137207064,0.930342844,-0.166461792,-0.287,0.3775,0.770464148,0.0480343838,-0.383804234,-0.134146345,-0.331861253,-0.3775,-0.741727434,-0.362866495,0.321980481,0.101804778,-0.766517289,0.433530087,0.0662808644,0.767662503,-0.254033187,0.340459065
0.88,0.022819923,0.0390038051,0.180758463,0.0018886544,-0.324364165,0.135172146,0.93622263,-0.161496734,-0.287,0.3775,0.820433849,0.0678494492,-0.389905212,-0.206539338,-0.415977628,-0.3775,-0.758496247,-0.395239111,0.325926456,0.101945197,-0.759250102,0.430440519,0.0479482814,0.766751535,-0.259947025,0.340940794
0.9,0.0301263867,0.0397177966,0.182786502,0.00723103968,-0.308377696,0.134322186,0.941705081,-0.161801862,-0.287,0.3775,0.874881908,0.0872107822,-0.395843974,-0.288000076,-0.514835584,-0.3775,-0.758126423,-0.42471655,0.331817516,0.101627766,-0.747786604,0.428999137,0.0238429621,0.766581016,-0.261291862,0.339307632
0.92,0.038411131,0.0351207086,0.182826596,0.0115952061,-0.290446396,0.132991741,0.94753345,-0.164041009,-0.287,0.3775,0.927600365,0.106250961,-0.401902757,-0.375424996,-0.61624688,-0.3775,-0.74038435,-0.451626662,0.340571504,0.103993046,-0.732824785,0.427909352,-0.00355558484,0.761839771,-0.262943648,0.335721493
